"initial_alias","converted_alias","name","description","namespace"
"ENSMUSG00000103242","ENSMUSG00000103242","Gm34767","predicted gene, 34767 [Source:MGI Symbol;Acc:MGI:5593926]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000082687","ENSMUSG00000082687","Gm11474","predicted gene 11474 [Source:MGI Symbol;Acc:MGI:3652276]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000065022","ENSMUSG00000065022","AF357341","snoRNA AF357341 [Source:MGI Symbol;Acc:MGI:3510328]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000117788","ENSMUSG00000117788","Gm5517","predicted gene 5517 [Source:MGI Symbol;Acc:MGI:3648671]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000110263","ENSMUSG00000110263","Gm45652","predicted gene 45652 [Source:MGI Symbol;Acc:MGI:5791488]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000119670","ENSMUSG00000119670","Gm24305","predicted gene, 24305 [Source:MGI Symbol;Acc:MGI:5454082]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000052565","ENSMUSG00000052565","H1f3","H1.3 linker histone, cluster member [Source:MGI Symbol;Acc:MGI:107502]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000119668","ENSMUSG00000119668","Gm23472","predicted gene, 23472 [Source:MGI Symbol;Acc:MGI:5453249]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000096201","None","None","None",""
"ENSMUSG00000060678","ENSMUSG00000060678","H4c3","H4 clustered histone 3 [Source:MGI Symbol;Acc:MGI:2448421]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000104993","ENSMUSG00000104993","Gm43510","predicted gene 43510 [Source:MGI Symbol;Acc:MGI:5663647]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000064923","ENSMUSG00000064923","Gm22042","predicted gene, 22042 [Source:MGI Symbol;Acc:MGI:5451819]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000084507","ENSMUSG00000084507","Gm25321","predicted gene, 25321 [Source:MGI Symbol;Acc:MGI:5455098]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000065176","ENSMUSG00000065176","Rnu12","RNA U12, small nuclear [Source:MGI Symbol;Acc:MGI:1336893]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000082616","ENSMUSG00000082616","Gm6025","predicted pseudogene 6025 [Source:MGI Symbol;Acc:MGI:3646091]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000098030","ENSMUSG00000098030","Gm6771","predicted gene 6771 [Source:MGI Symbol;Acc:MGI:3648467]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000092713","ENSMUSG00000092713","Gm22858","predicted gene, 22858 [Source:MGI Symbol;Acc:MGI:5452635]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000069274","ENSMUSG00000069274","H4c6","H4 clustered histone 6 [Source:MGI Symbol;Acc:MGI:2448425]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000064372","ENSMUSG00000064372","mt-Tp","mitochondrially encoded tRNA proline [Source:MGI Symbol;Acc:MGI:102478]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000064288","ENSMUSG00000064288","H4c12","H4 clustered histone 12 [Source:MGI Symbol;Acc:MGI:2448439]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000102718","ENSMUSG00000102718","Gm37761","predicted gene, 37761 [Source:MGI Symbol;Acc:MGI:5610989]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000065042","ENSMUSG00000065042","Gm24043","predicted gene, 24043 [Source:MGI Symbol;Acc:MGI:5453820]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000116918","ENSMUSG00000116918","Gm49578","predicted gene, 49578 [Source:MGI Symbol;Acc:MGI:6214975]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000070263","ENSMUSG00000070263","Gm22365","predicted gene, 22365 [Source:MGI Symbol;Acc:MGI:5452142]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000055341","ENSMUSG00000055341","Zfp457","zinc finger protein 457 [Source:MGI Symbol;Acc:MGI:2664334]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000108513","ENSMUSG00000108513","Gm30075","predicted gene, 30075 [Source:MGI Symbol;Acc:MGI:5589234]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000081364","ENSMUSG00000081364","Gm8595","predicted gene 8595 [Source:MGI Symbol;Acc:MGI:3643427]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000064340","ENSMUSG00000064340","mt-Tl1","mitochondrially encoded tRNA leucine 1 [Source:MGI Symbol;Acc:MGI:102482]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000064542","ENSMUSG00000064542","Gm22980","predicted gene, 22980 [Source:MGI Symbol;Acc:MGI:5452757]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000105167","ENSMUSG00000105167","Snord43","small nucleolar RNA, C/D box 43 [Source:MGI Symbol;Acc:MGI:3819534]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000119767","ENSMUSG00000119767","n-R5s112","nuclear encoded rRNA 5S 112 [Source:MGI Symbol;Acc:MGI:4421960]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000065822","ENSMUSG00000065822","Snord15a","small nucleolar RNA, C/D box 15A [Source:MGI Symbol;Acc:MGI:3645887]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000103625","ENSMUSG00000103625","Gm37357","predicted gene, 37357 [Source:MGI Symbol;Acc:MGI:5610585]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000097892","ENSMUSG00000097892","Gm26801","predicted gene, 26801 [Source:MGI Symbol;Acc:MGI:5477295]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000117626","ENSMUSG00000117626","Gm7917","predicted gene 7917 [Source:MGI Symbol;Acc:MGI:3645429]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000065050","ENSMUSG00000065050","Gm25704","predicted gene, 25704 [Source:MGI Symbol;Acc:MGI:5455481]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000071516","ENSMUSG00000071516","H2ac13","H2A clustered histone 13 [Source:MGI Symbol;Acc:MGI:2448457]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000100417","ENSMUSG00000100417","Gm28578","predicted gene 28578 [Source:MGI Symbol;Acc:MGI:5579284]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000083201","ENSMUSG00000083201","Gm12080","predicted gene 12080 [Source:MGI Symbol;Acc:MGI:3650552]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000064344","ENSMUSG00000064344","mt-Tm","mitochondrially encoded tRNA methionine [Source:MGI Symbol;Acc:MGI:102480]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000085066","ENSMUSG00000085066","Gm4989","predicted pseudogene 4989 [Source:MGI Symbol;Acc:MGI:3643860]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000062727","ENSMUSG00000062727","H2bc12","H2B clustered histone 12 [Source:MGI Symbol;Acc:MGI:2448399]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000101240","ENSMUSG00000101240","Gm28266","predicted gene 28266 [Source:MGI Symbol;Acc:MGI:5578972]","ARRAYEXPRESS,ENSG"
"ENSMUSG00002076348","ENSMUSG00002076348","Gm55604","predicted gene, 55604 [Source:MGI Symbol;Acc:MGI:6847676]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000069300","ENSMUSG00000069300","H2bc11","H2B clustered histone 11 [Source:MGI Symbol;Acc:MGI:2448388]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000118328","ENSMUSG00000118328","Gm46615","predicted gene, 46615 [Source:MGI Symbol;Acc:MGI:5826252]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000103501","ENSMUSG00000103501","Gm7412","predicted gene 7412 [Source:MGI Symbol;Acc:MGI:3644068]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000119895","ENSMUSG00000119895","Gm22513","predicted gene, 22513 [Source:MGI Symbol;Acc:MGI:5452290]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000107416","ENSMUSG00000107416","Gm44030","predicted gene, 44030 [Source:MGI Symbol;Acc:MGI:5690422]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000118864","ENSMUSG00000118864","Gm25679","predicted gene, 25679 [Source:MGI Symbol;Acc:MGI:5455456]","ARRAYEXPRESS,ENSG"
"ENSMUSG00002075812","ENSMUSG00002075812","Gm55252","predicted gene, 55252 [Source:MGI Symbol;Acc:MGI:6846976]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000101206","ENSMUSG00000101206","Gm5266","predicted gene 5266 [Source:MGI Symbol;Acc:MGI:3646119]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000065818","ENSMUSG00000065818","Snord35a","small nucleolar RNA, C/D box 35A [Source:MGI Symbol;Acc:MGI:1351319]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000064984","ENSMUSG00000064984","Snord73a","small nucleolar RNA, C/D box U73A [Source:MGI Symbol;Acc:MGI:1321388]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000118790","ENSMUSG00000118790","Gm25939","predicted gene, 25939 [Source:MGI Symbol;Acc:MGI:5455716]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000064338","ENSMUSG00000064338","mt-Tv","mitochondrially encoded tRNA valine [Source:MGI Symbol;Acc:MGI:102472]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000020783","ENSMUSG00000020783","Ncbp3","nuclear cap binding subunit 3 [Source:MGI Symbol;Acc:MGI:1914124]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000069302","ENSMUSG00000069302","H2ac12","H2A clustered histone 12 [Source:MGI Symbol;Acc:MGI:2448295]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000119427","ENSMUSG00000119427","Gm24830","predicted gene, 24830 [Source:MGI Symbol;Acc:MGI:5454607]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000065658","ENSMUSG00000065658","Gm23102","predicted gene, 23102 [Source:MGI Symbol;Acc:MGI:5452879]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000092998","ENSMUSG00000092998","Mir5099","microRNA 5099 [Source:MGI Symbol;Acc:MGI:4950417]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000067455","ENSMUSG00000067455","H4c11","H4 clustered histone 11 [Source:MGI Symbol;Acc:MGI:2448436]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000059150","ENSMUSG00000059150","Rpl26-ps4","ribosomal protein L26, pseudogene 4 [Source:MGI Symbol;Acc:MGI:3644695]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000107644","ENSMUSG00000107644","Gm6342","predicted gene 6342 [Source:MGI Symbol;Acc:MGI:3645065]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000082608","ENSMUSG00000082608","Gm7670","predicted gene 7670 [Source:MGI Symbol;Acc:MGI:3648912]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000065045","ENSMUSG00000065045","Gm24046","predicted gene, 24046 [Source:MGI Symbol;Acc:MGI:5453823]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000081499","ENSMUSG00000081499","Gm12517","predicted gene 12517 [Source:MGI Symbol;Acc:MGI:3649535]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000112013","ENSMUSG00000112013","Gm47967","predicted gene, 47967 [Source:MGI Symbol;Acc:MGI:6097247]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000115401","ENSMUSG00000115401","Gm49157","predicted gene, 49157 [Source:MGI Symbol;Acc:MGI:6118578]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000060081","ENSMUSG00000060081","H2ac1","H2A clustered histone 1 [Source:MGI Symbol;Acc:MGI:2448285]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000055737","ENSMUSG00000055737","Ghr","growth hormone receptor [Source:MGI Symbol;Acc:MGI:95708]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000108596","ENSMUSG00000108596","Gm49368","predicted gene, 49368 [Source:MGI Symbol;Acc:MGI:6121583]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000026971","ENSMUSG00000026971","Itgb6","integrin beta 6 [Source:MGI Symbol;Acc:MGI:96615]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000091405","ENSMUSG00000091405","H4c14","H4 clustered histone 14 [Source:MGI Symbol;Acc:MGI:2140113]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000024261","ENSMUSG00000024261","Syt4","synaptotagmin IV [Source:MGI Symbol;Acc:MGI:101759]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000068855","ENSMUSG00000068855","H2ac20","H2A clustered histone 20 [Source:MGI Symbol;Acc:MGI:2448316]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000107327","ENSMUSG00000107327","Gm7478","predicted gene 7478 [Source:MGI Symbol;Acc:MGI:3648572]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000112042","ENSMUSG00000112042","Gm47402","predicted gene, 47402 [Source:MGI Symbol;Acc:MGI:6096331]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000069307","ENSMUSG00000069307","H2bc23","H2B clustered histone 23 [Source:MGI Symbol;Acc:MGI:3702051]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000034459","ENSMUSG00000034459","Ifit1","interferon-induced protein with tetratricopeptide repeats 1 [Source:MGI Symbol;Acc:MGI:99450]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000098897","ENSMUSG00000098897","Gm19013","predicted gene, 19013 [Source:MGI Symbol;Acc:MGI:5011198]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000036211","ENSMUSG00000036211","H1f6","H1.6 linker histone, cluster member [Source:MGI Symbol;Acc:MGI:1888530]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000119714","ENSMUSG00000119714","n-R5s101","nuclear encoded rRNA 5S 101 [Source:MGI Symbol;Acc:MGI:4421949]","ARRAYEXPRESS,ENSG"
"ENSMUSG00002075470","ENSMUSG00002075470","Gm56290","predicted gene, 56290 [Source:MGI Symbol;Acc:MGI:6849038]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000113937","ENSMUSG00000113937","Rpl21-ps2","ribosomal protein L21, pseudogene 2 [Source:MGI Symbol;Acc:MGI:3647229]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000088252","ENSMUSG00000088252","Snord13","small nucleolar RNA, C/D box 13 [Source:MGI Symbol;Acc:MGI:3819521]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000119520","ENSMUSG00000119520","Gm24265","predicted gene, 24265 [Source:MGI Symbol;Acc:MGI:5454042]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000101373","ENSMUSG00000101373","Zfp813-ps","zinc finger protein 813, pseudogene [Source:MGI Symbol;Acc:MGI:3645355]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000114279","ENSMUSG00000114279","H2bc14","H2B clustered histone 14 [Source:MGI Symbol;Acc:MGI:2448404]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000117810","ENSMUSG00000117810","Gm8934","predicted gene 8934 [Source:MGI Symbol;Acc:MGI:3643402]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000078851","ENSMUSG00000078851","H2ac25","H2A clustered histone 25 [Source:MGI Symbol;Acc:MGI:2448458]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000041608","ENSMUSG00000041608","Entpd3","ectonucleoside triphosphate diphosphohydrolase 3 [Source:MGI Symbol;Acc:MGI:1321386]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000081877","ENSMUSG00000081877","Gm8858","predicted gene 8858 [Source:MGI Symbol;Acc:MGI:3648007]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000114320","ENSMUSG00000114320","Gm30839","predicted gene, 30839 [Source:MGI Symbol;Acc:MGI:5589998]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000084118","ENSMUSG00000084118","Gm14989","predicted gene 14989 [Source:MGI Symbol;Acc:MGI:3705366]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000063172","ENSMUSG00000063172","Hspb11","heat shock protein family B (small), member 11 [Source:MGI Symbol;Acc:MGI:1920188]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000064437","ENSMUSG00000064437","Snord49b","small nucleolar RNA, C/D box 49B [Source:MGI Symbol;Acc:MGI:3819539]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000119216","ENSMUSG00000119216","n-R5s151","nuclear encoded rRNA 5S 151 [Source:MGI Symbol;Acc:MGI:4422013]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000089093","ENSMUSG00000089093","Snord11","small nucleolar RNA, C/D box 11 [Source:MGI Symbol;Acc:MGI:3819516]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000065293","ENSMUSG00000065293","Gm26124","predicted gene, 26124 [Source:MGI Symbol;Acc:MGI:5455901]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000119206","ENSMUSG00000119206","Gm22317","predicted gene, 22317 [Source:MGI Symbol;Acc:MGI:5452094]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000069309","ENSMUSG00000069309","H2ac22","H2A clustered histone 22 [Source:MGI Symbol;Acc:MGI:2448300]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000040372","ENSMUSG00000040372","Gpr63","G protein-coupled receptor 63 [Source:MGI Symbol;Acc:MGI:2135884]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000077493","ENSMUSG00000077493","Snord91a","small nucleolar RNA, C/D box 91A [Source:MGI Symbol;Acc:MGI:3819564]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000063689","ENSMUSG00000063689","H2ac21","H2A clustered histone 21 [Source:MGI Symbol;Acc:MGI:2448314]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000117099","ENSMUSG00000117099","Gm3547","predicted gene 3547 [Source:MGI Symbol;Acc:MGI:3781724]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000082886","ENSMUSG00000082886","Gm5386","predicted pseudogene 5386 [Source:MGI Symbol;Acc:MGI:3644449]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000069270","ENSMUSG00000069270","H2ac6","H2A clustered histone 6 [Source:MGI Symbol;Acc:MGI:2448287]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000061615","ENSMUSG00000061615","H2ac4","H2A clustered histone 4 [Source:MGI Symbol;Acc:MGI:2448306]","ARRAYEXPRESS,ENSG"
"ENSMUSG00002075041","ENSMUSG00002075041","Gm56244","predicted gene, 56244 [Source:MGI Symbol;Acc:MGI:6848946]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000049307","ENSMUSG00000049307","Fut4","fucosyltransferase 4 [Source:MGI Symbol;Acc:MGI:95594]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000110047","ENSMUSG00000110047","A230085B16Rik","RIKEN cDNA A230085B16 gene [Source:MGI Symbol;Acc:MGI:3045287]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000083505","ENSMUSG00000083505","Gm7541","predicted gene 7541 [Source:MGI Symbol;Acc:MGI:3648278]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000049902","ENSMUSG00000049902","4921517D22Rik","RIKEN cDNA 4921517D22 gene [Source:MGI Symbol;Acc:MGI:1918150]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000102994","ENSMUSG00000102994","Gm37767","predicted gene, 37767 [Source:MGI Symbol;Acc:MGI:5610995]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000065196","ENSMUSG00000065196","Snord85","small nucleolar RNA, C/D box 85 [Source:MGI Symbol;Acc:MGI:3819558]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000090762","ENSMUSG00000090762","Vmn2r56","vomeronasal 2, receptor 56 [Source:MGI Symbol;Acc:MGI:3695438]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000117055","ENSMUSG00000117055","Gm9805","predicted gene 9805 [Source:MGI Symbol;Acc:MGI:3642566]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000083976","ENSMUSG00000083976","Gm13664","predicted gene 13664 [Source:MGI Symbol;Acc:MGI:3650263]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000069305","ENSMUSG00000069305","H4c18","H4 clustered histone 18 [Source:MGI Symbol;Acc:MGI:4843992]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000039519","ENSMUSG00000039519","Cyp7b1","cytochrome P450, family 7, subfamily b, polypeptide 1 [Source:MGI Symbol;Acc:MGI:104978]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000080152","ENSMUSG00000080152","H3f4","H3.4 histone, cluster member [Source:MGI Symbol;Acc:MGI:3651326]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000060093","ENSMUSG00000060093","H4c1","H4 clustered histone 1 [Source:MGI Symbol;Acc:MGI:2448419]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000102948","ENSMUSG00000102948","Gm6101","predicted gene 6101 [Source:MGI Symbol;Acc:MGI:3644986]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000106819","ENSMUSG00000106819","Gm43498","predicted gene 43498 [Source:MGI Symbol;Acc:MGI:5663635]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000119132","ENSMUSG00000119132","Gm24407","predicted gene, 24407 [Source:MGI Symbol;Acc:MGI:5454184]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000080712","ENSMUSG00000080712","H2bc26-ps","H2B clustered histone 26, pseudogene [Source:MGI Symbol;Acc:MGI:1922442]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000113818","ENSMUSG00000113818","Gm7119","predicted gene 7119 [Source:MGI Symbol;Acc:MGI:3644926]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000087121","ENSMUSG00000087121","Gm7847","predicted gene 7847 [Source:MGI Symbol;Acc:MGI:3648443]","ARRAYEXPRESS,ENSG"
